Steps (m),MeanDistance (d),Square root of Steps (m),Log (m),Log (d)
17104,116.4522839,130.7822618,14.06204614,6.863595124
17106,114.474039,130.7899079,14.06221482,6.838876643
17108,119.3517985,130.7975535,14.06238349,6.899076496
17110,116.7024175,130.8051987,14.06255214,6.866690637
17112,114.9271825,130.8128434,14.06272077,6.844576253
17114,116.0887587,130.8204877,14.06288938,6.859084467
17116,114.5291761,130.8281315,14.06305796,6.839571359
17118,113.5339922,130.8357749,14.06322653,6.826980497
17120,115.1364092,130.8434179,14.06339508,6.847200314
17122,113.1939285,130.8510604,14.06356361,6.822652767
17124,117.7641233,130.8587024,14.06373212,6.87975628
17126,115.0017566,130.866344,14.06390061,6.845512087
17128,115.794721,130.8739852,14.06406908,6.855425673
17130,115.1004867,130.8816259,14.06423753,6.846750123
17132,115.107826,130.8892662,14.06440596,6.846842113
17134,117.9277773,130.896906,14.06457437,6.881759768
17136,115.9276331,130.9045454,14.06474276,6.857080685
17138,117.4111677,130.9121843,14.06491114,6.875425828
17140,114.1766917,130.9198228,14.06507949,6.835124356
17142,116.6089643,130.9274608,14.06524782,6.865534889
17144,115.8240396,130.9350984,14.06541613,6.85579091
17146,117.4961827,130.9427356,14.06558443,6.876470076
17148,118.7299092,130.9503723,14.0657527,6.891539599
17150,121.1699461,130.9580085,14.06592096,6.9208881
17152,120.5831766,130.9656443,14.06608919,6.91388483
17154,114.9242978,130.9732797,14.06625741,6.84454004
17156,113.2205788,130.9809146,14.0664256,6.822992394
17158,118.3148005,130.9885491,14.06659378,6.886486748
17160,115.934552,130.9961832,14.06676193,6.857166787
17162,117.7181084,131.0038167,14.06693007,6.879192455
17164,114.1997085,131.0114499,14.06709819,6.835415157
17166,115.2036547,131.0190826,14.06726628,6.848042675
17168,120.7560913,131.0267148,14.06743436,6.915952155
17170,120.4839932,131.0343466,14.06760242,6.912697681
17172,118.9402385,131.041978,14.06777046,6.894093063
17174,114.7350086,131.0496089,14.06793848,6.842161852
17176,118.9616734,131.0572394,14.06810648,6.894353036
17178,112.0284644,131.0648694,14.06827446,6.807721531
17180,115.5610503,131.072499,14.06844242,6.852511411
17182,114.7718353,131.0801282,14.06861036,6.842624842
17184,117.7252433,131.0877569,14.06877828,6.879279894
17186,118.5042493,131.0953851,14.06894618,6.888794982
17188,117.9235759,131.1030129,14.06911406,6.881708368
17190,114.9358765,131.1106403,14.06928192,6.844685386
17192,118.468317,131.1182672,14.06944977,6.888357468
17194,114.3767454,131.1258937,14.06961759,6.837649949
17196,116.620991,131.1335197,14.06978539,6.865683678
17198,117.1730671,131.1411453,14.06995318,6.872497186
17200,114.3974872,131.1487705,14.07012094,6.837911553
17202,118.7316797,131.1563952,14.07028869,6.891561113
17204,114.4464169,131.1640195,14.07045642,6.838528486
17206,115.9298653,131.1716433,14.07062412,6.857108464
17208,115.5285016,131.1792667,14.07079181,6.852105007
17210,113.5134672,131.1868896,14.07095948,6.826719658
17212,116.4478743,131.1945121,14.07112712,6.863540494
17214,115.3439365,131.2021341,14.07129475,6.849798355
17216,115.2259829,131.2097557,14.07146236,6.848322264
17218,115.1583419,131.2173769,14.07162995,6.847475112
17220,116.6572527,131.2249976,14.07179752,6.866132194
17222,118.2344917,131.2326179,14.07196507,6.885507154
17224,114.8542406,131.2402377,14.0721326,6.843660315
17226,113.7782152,131.2478571,14.07230012,6.830080545
17228,120.0149599,131.2554761,14.07246761,6.907070439
17230,118.3614415,131.2630946,14.07263508,6.887055362
17232,113.1791111,131.2707127,14.07280253,6.822463901
17234,118.3039236,131.2783303,14.07296997,6.886354112
17236,115.6103944,131.2859475,14.07313738,6.853127304
17238,116.7821493,131.2935642,14.07330478,6.867675958
17240,114.4872107,131.3011805,14.07347215,6.839042635
17242,115.5868293,131.3087964,14.07363951,6.852833207
17244,118.0814713,131.3164118,14.07380685,6.883638793
17246,119.6380659,131.3240267,14.07397416,6.902532682
17248,112.413139,131.3316413,14.07414146,6.812666859
17250,115.6286176,131.3392554,14.07430874,6.853354692
17252,121.5023594,131.346869,14.074476,6.924840519
17254,114.2496845,131.3544822,14.07464324,6.836046371
17256,119.0058673,131.362095,14.07481046,6.894888894
17258,114.6039056,131.3697073,14.07497766,6.840512401
17260,117.7334268,131.3773192,14.07514484,6.879380177
17262,114.2821531,131.3849306,14.07531201,6.836456312
17264,114.2676132,131.3925416,14.07547915,6.836272749
17266,115.254473,131.4001522,14.07564627,6.848678933
17268,117.9827645,131.4077623,14.07581338,6.882432309
17270,114.5656369,131.415372,14.07598046,6.840030573
17272,118.4484737,131.4229812,14.07614753,6.888115798
17274,117.2055921,131.43059,14.07631457,6.872897594
17276,115.0502444,131.4381984,14.0764816,6.846120238
17278,114.242685,131.4458063,14.07664861,6.835957981
17280,115.7464559,131.4534138,14.0768156,6.854824209
17282,116.4841944,131.4610208,14.07698257,6.8639904
17284,116.8713648,131.4686274,14.07714952,6.868777682
17286,115.183973,131.4762336,14.07731645,6.84779618
17288,117.3823499,131.4838393,14.07748336,6.875071685
17290,115.3565861,131.4914446,14.07765025,6.849956564
17292,118.495908,131.4990494,14.07781712,6.888693429
17294,116.7226828,131.5066538,14.07798397,6.866941138
17296,115.8553553,131.5142578,14.07815081,6.856180923
17298,112.205597,131.5218613,14.07831762,6.810000831
17300,118.5987712,131.5294644,14.07848442,6.889945252
17302,117.5353563,131.537067,14.07865119,6.876950995
17304,118.448651,131.5446692,14.07881795,6.888117958
17306,113.9985915,131.552271,14.07898469,6.832872189
17308,116.0276861,131.5598723,14.07915141,6.858325287
17310,115.4045066,131.5674732,14.0793181,6.850555753
17312,117.4105979,131.5750736,14.07948478,6.875418827
17314,119.1529386,131.5826736,14.07965144,6.896670722
17316,120.3877454,131.5902732,14.07981809,6.911544733
17318,116.7757347,131.5978723,14.07998471,6.867596712
17320,116.1613503,131.605471,14.08015131,6.859986318
17322,117.3792868,131.6130693,14.08031789,6.875034037
17324,117.2661018,131.6206671,14.08048446,6.873642223
17326,114.4157467,131.6282644,14.080651,6.83814181
17328,114.9722457,131.6358614,14.08081753,6.845141826
17330,115.7627242,131.6434579,14.08098403,6.855026968
17332,116.0384105,131.6510539,14.08115052,6.858458628
17334,118.9335035,131.6586495,14.08131699,6.894011368
17336,113.9169929,131.6662447,14.08148344,6.831839159
17338,116.0282848,131.6738395,14.08164987,6.858332731
17340,116.1996502,131.6814338,14.08181628,6.860461916
17342,119.2591773,131.6890276,14.08198267,6.897956479
17344,118.8133016,131.6966211,14.08214904,6.89255255
17346,115.8972501,131.7042141,14.08231539,6.856702526
17348,118.1483488,131.7118066,14.08248173,6.884455657
17350,113.8518717,131.7193987,14.08264804,6.8310142
17352,114.1588504,131.7269904,14.08281434,6.834898902
17354,116.1887352,131.7345816,14.08298061,6.860326392
17356,116.9772864,131.7421724,14.08314687,6.870084617
17358,115.2164266,131.7497628,14.08331311,6.848202609
17360,118.8207178,131.7573527,14.08347933,6.892642598
17362,119.1766876,131.7649422,14.08364553,6.896958245
17364,117.7446979,131.7725313,14.08381171,6.879518285
17366,121.671866,131.7801199,14.08397787,6.926851804
17368,119.8721645,131.7877081,14.08414401,6.905352879
17370,117.4536619,131.7952958,14.08431013,6.875947884
17372,119.7006035,131.8028831,14.08447624,6.903286615
17374,115.5728792,131.81047,14.08464232,6.852659079
17376,115.5706679,131.8180564,14.08480839,6.852631474
17378,116.3404656,131.8256424,14.08497443,6.862209172
17380,119.220226,131.833228,14.08514046,6.897485203
17382,118.37678,131.8408131,14.08530647,6.887242309
17384,117.9917507,131.8483978,14.08547246,6.882542188
17386,117.2550766,131.855982,14.08563843,6.873506576
17388,117.7286923,131.8635659,14.08580438,6.87932216
17390,117.6074623,131.8711492,14.08597031,6.877835793
17392,117.2265968,131.8787322,14.08613623,6.873156121
17394,115.8103283,131.8863147,14.08630212,6.855620112
17396,117.6905785,131.8938968,14.08646799,6.878855022
17398,114.3051995,131.9014784,14.08663385,6.836747221
17400,114.5611499,131.9090596,14.08679969,6.839974068
17402,116.9584269,131.9166403,14.0869655,6.869852002
17404,118.4113607,131.9242207,14.0871313,6.887663693
17406,119.1176252,131.9318006,14.08729708,6.896243087
17408,117.5320389,131.93938,14.08746284,6.876910274
17410,112.5550054,131.946959,14.08762858,6.814486405
17412,111.5449649,131.9545376,14.0877943,6.801481582
17414,116.1979443,131.9621158,14.08796001,6.860440735
17416,116.6777746,131.9696935,14.08812569,6.866385964
17418,118.3478762,131.9772708,14.08829136,6.886890006
17420,116.5482342,131.9848476,14.088457,6.864783337
17422,116.7075614,131.992424,14.08862263,6.866754225
17424,115.9951595,132,14.08878824,6.857920792
17426,116.1301129,132.0075755,14.08895383,6.859598306
17428,116.4238389,132.0151506,14.0891194,6.863242684
17430,118.9359111,132.0227253,14.08928495,6.894040573
17432,116.2912147,132.0302996,14.08945048,6.861598302
17434,114.7590761,132.0378734,14.08961599,6.842464449
17436,114.6657572,132.0454467,14.08978149,6.841290811
17438,117.3531673,132.0530197,14.08994696,6.874712969
17440,115.4062015,132.0605922,14.09011242,6.850576941
17442,117.2917851,132.0681642,14.09027786,6.873958163
17444,117.350901,132.0757358,14.09044328,6.874685109
17446,115.0830284,132.083307,14.09060867,6.846531281
17448,113.4088867,132.0908778,14.09077405,6.825389884
17450,114.3849274,132.0984481,14.09093942,6.83775315
17452,120.9281675,132.106018,14.09110476,6.918006517
17454,117.1932704,132.1135875,14.09127008,6.872745918
17456,115.2217608,132.1211565,14.09143539,6.848269399
17458,117.4780299,132.1287251,14.09160067,6.876247167
17460,115.9632162,132.1362933,14.09176594,6.857523441
17462,116.4942645,132.143861,14.09193119,6.864115117
17464,115.3408725,132.1514283,14.09209641,6.84976003
17466,117.6298807,132.1589952,14.09226162,6.878110774
17468,118.4215586,132.1665616,14.09242682,6.887787937
17470,119.9101235,132.1741276,14.09259199,6.905809654
17472,116.8095893,132.1816931,14.09275714,6.868014904
17474,115.3463755,132.1892583,14.09292228,6.849828861
17476,117.3889263,132.196823,14.09308739,6.87515251
17478,122.6131187,132.2043872,14.09325249,6.937969535
17480,118.9915144,132.211951,14.09341756,6.894714885
17482,115.8468757,132.2195144,14.09358262,6.856075326
17484,117.6811051,132.2270774,14.09374766,6.878738889
17486,118.010838,132.2346399,14.09391268,6.882775552
17488,117.114605,132.242202,14.09407769,6.871777191
17490,119.657231,132.2497637,14.09424267,6.902763773
17492,116.1706506,132.2573249,14.09440763,6.860101821
17494,115.9754775,132.2648857,14.09457258,6.857675976
17496,115.0420604,132.2724461,14.09473751,6.846017609
17498,118.6066324,132.280006,14.09490241,6.890040876
17500,116.1122161,132.2875656,14.0950673,6.859375955
17502,117.0120863,132.2951246,14.09523217,6.870513745
17504,121.2969339,132.3026833,14.09539702,6.922399272
17506,114.0400402,132.3102415,14.09556186,6.833396643
17508,116.5469196,132.3177993,14.09572667,6.864767063
17510,116.8264198,132.3253566,14.09589146,6.86822276
17512,115.3884797,132.3329135,14.09605624,6.850355383
17514,116.8066323,132.34047,14.096221,6.867978383
17516,120.7032019,132.3480261,14.09638573,6.915320137
17518,116.0147767,132.3555817,14.09655045,6.858164762
17520,118.5999932,132.3631369,14.09671515,6.889960117
17522,116.2982628,132.3706916,14.09687984,6.861685736
17524,119.1366176,132.3782459,14.0970445,6.896473095
17526,118.4584058,132.3857998,14.09720914,6.888236765
17528,120.8531249,132.3933533,14.09737377,6.917110967
17530,120.1375663,132.4009063,14.09753838,6.908543533
17532,116.3407337,132.4084589,14.09770296,6.862212498
17534,116.8976213,132.4160111,14.09786753,6.869101763
17536,115.5935234,132.4235629,14.09803208,6.852916757
17538,117.4670353,132.4311142,14.09819661,6.87611214
17540,115.8650643,132.438665,14.09836113,6.856301819
17542,116.6830496,132.4462155,14.09852562,6.866451187
17544,118.8834971,132.4537655,14.0986901,6.89340465
17546,117.3646153,132.4613151,14.09885455,6.8748537
17548,117.5050273,132.4688643,14.09901899,6.876578671
17550,118.7182785,132.476413,14.09918341,6.891398267
17552,114.3381956,132.4839613,14.09934781,6.837163618
17554,120.7673294,132.4915092,14.09951219,6.916086412
17556,117.9788133,132.4990566,14.09967655,6.882383993
17558,116.2273278,132.5066036,14.0998409,6.86080551
17560,115.9069484,132.5141502,14.10000522,6.856823245
17562,116.5930329,132.5216963,14.10016953,6.865337771
17564,119.8908028,132.5292421,14.10033382,6.905577179
17566,117.3894404,132.5367873,14.10049809,6.875158828
17568,114.7292798,132.5443322,14.10066234,6.842089815
17570,116.9388192,132.5518766,14.10082657,6.869610119
17572,116.2477552,132.5594206,14.10099078,6.861059047
17574,116.3906673,132.5669642,14.10115498,6.862831571
17576,117.0313232,132.5745074,14.10131915,6.870750906
17578,114.0384258,132.5820501,14.10148331,6.833376219
17580,118.4938008,132.5895924,14.10164745,6.888667774
17582,118.3172111,132.5971342,14.10181157,6.886516141
17584,116.4087312,132.6046756,14.10197567,6.863055461
17586,113.3953507,132.6122166,14.10213975,6.825217679
17588,119.4231,132.6197572,14.10230382,6.899938114
17590,121.7947135,132.6272973,14.10246786,6.928307704
17592,119.2407318,132.6348371,14.10263189,6.897733324
17594,116.3270527,132.6423763,14.1027959,6.862042835
17596,116.8643475,132.6499152,14.10295989,6.868691055
17598,119.6004826,132.6574536,14.10312386,6.9020794
17600,119.9972626,132.6649916,14.10328781,6.906857685
17602,119.6624982,132.6725292,14.10345174,6.902827277
17604,112.8418356,132.6800663,14.10361566,6.818158229
17606,117.5666714,132.687603,14.10377955,6.877335323
17608,117.2195717,132.6951393,14.10394343,6.873069661
17610,117.1441426,132.7026752,14.10410729,6.872141009
17612,117.7543318,132.7102106,14.10427113,6.879636322
17614,116.8007628,132.7177456,14.10443495,6.867905886
17616,115.2934743,132.7252802,14.10459875,6.849167047
17618,120.5359422,132.7328143,14.10476254,6.913319592
17620,116.8982265,132.740348,14.1049263,6.869109233
17622,117.8659208,132.7478813,14.10509005,6.881002834
17624,117.8210977,132.7554142,14.10525378,6.880454089
17626,116.1245093,132.7629466,14.10541749,6.85952869
17628,120.8725109,132.7704786,14.10558118,6.917342371
17630,118.694134,132.7780102,14.10574485,6.891104827
17632,117.4729994,132.7855414,14.10590851,6.876185388
17634,118.9344321,132.7930721,14.10607214,6.894022633
17636,120.1465343,132.8006024,14.10623576,6.908651223
17638,120.2639212,132.8081323,14.10639936,6.910060093
17640,116.9549237,132.8156617,14.10656294,6.869808789
17642,118.9431988,132.8231907,14.1067265,6.89412897
17644,117.4396874,132.8307193,14.10689005,6.875776223
17646,119.598715,132.8382475,14.10705357,6.902058078
17648,120.8570737,132.8457752,14.10721708,6.917158106
17650,117.9787712,132.8533026,14.10738056,6.882383478
17652,113.0780694,132.8608294,14.10754403,6.821175346
17654,117.0627575,132.8683559,14.10770748,6.871138358
17656,120.2203437,132.8758819,14.10787091,6.909537239
